Item type,Color,Size,Material,Glasses Water saved,Hours Lightbulb saved,Miles driving saved,Company,price WITH code,OG price,link
"Bootcut Jeans, Boyfriend jeans",,"S, M",Cotton,678.6,244.56,0.66,ThredUP,$7.14 ,,https://www.thredup.com/product/women-cotton-hollister-blue-khakis/143227024 
"Cocktail Dress, Strapless Dress, Dress",Red,M,Polyester,1264.88,537.42,2.61,ThredUP,$17.54 ,,https://www.thredup.com/product/women-polyester-lulus-colored-cocktail-dress/145558732?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
"Cocktail Dress, Short sleeve dress, V-neck dress, Dress",White,S,Polyester,1264.88,537.42,2.61,ThredUP,$18.84 ,,https://www.thredup.com/product/women-polyester-lulus-white-cocktail-dress/145465094?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
"Jacket, Windbreaker",Green,XS,Nylon,387.64,311.75,2.14,ThredUP,$24.69 ,,The North Face 100% Nylon Solid Green Jacket Size XS - 73% off | thredUP
"Casual Dress, Strapless dress, A-Line dress, Dress","Multi color, blue",2X,Cotton,1264.88,537.42,2.61,ThredUP,$30.54 ,,https://www.thredup.com/product/women-cotton-torrid-multi-color-casual-dress/144103128?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
Denim Jacket,Blue,L,Denim,387.64,311.75,2.14,ThredUP,16.89,,Isda & Co 100% Cotton Solid Blue Denim Jacket Size L - 84% off | thredUP
Ruched Long sleeve top,White ,M,"Rayon, Spandex",471.24,184.57,0.87,ThredUP,$19.99 ,,https://www.thredup.com/product/women-rayon-assorted-brands-white-long-sleeve-top/146023781?query_id=778039487003156480&result_id=778039489133862912
"Cocktail Dress, Sleeveless Dress, Midi Dress, Dress",Pink,M,Polyester,1264.88,537.42,2.61,ThredUP,$49.39 ,,https://www.thredup.com/product/women-polyester-vera-wang-colored-cocktail-dress/141891317?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
Trenchcoat,Tan,XS,Cotton,387.64,311.75,2.14,ThredUP,,,Banana Republic 100% Cotton Solid Colored Tan Trenchcoat Size XS - 71% off | thredUP
Skinny Jeans,,"L, XL",Cotton,676.87,637.48,0.98,ThredUP,7.14,,
short sleeve cut out top,White ,XS,,471.24,184.57,0.87,ThredUP,$18.99 ,,https://www.thredup.com/product/women-urban-outfitters-black-short-sleeve-top/144379800?query_id=778041102888165376&result_id=778041103588614144
"Casual Dress, Sleeveless dress, Dress",Black,S,Polyester,1264.88,537.42,2.61,ThredUP,$12.34 ,,https://www.thredup.com/product/women-polyester-express-outlet-black-casual-dress/144337833?query_id=778041361475338240&result_id=778041365363548160&suggestion_id=778041361534058518
"Casual Dress, Sleeveless dress, Dress",Red,S,Polyester,,,,,,,
"Boyfriend jeans, Jeans",Blue,S,Cotton,637.48,142.2,0.66,ThredUP,$25.99 ,$39.99 ,https://www.thredup.com/product/women-cotton-madewell-blue-jeans/143715721?query_id=778046127102328832&result_id=778046129820205056&suggestion_id=778046127161049110
"Boyfriend jeans, Jeans, Frayed jeans, Mid rise jeans",Blue,XS,Cotton,637.48,142.2,0.66,ThredUP,$24.04 ,$36.99 ,https://www.thredup.com/product/women-cotton-madewell-blue-jeans/139150761?query_id=778046127102328832&result_id=778046129820205056&suggestion_id=778046127161049110
