Item type,Color,Size,Material,Glasses Water saved,Hours Lightbulb saved,Miles driving saved,Company,price WITH code,OG price,link
Jeans,Blue,S,Cotton,678.6,244.56,0.66,ThredUP,$7.14 ,,https://www.thredup.com/product/women-cotton-hollister-blue-khakis/143227024 
Dress,Red,M,Polyester,1264.88,537.42,2.61,ThredUP,$17.54 ,,https://www.thredup.com/product/women-polyester-lulus-colored-cocktail-dress/145558732?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
Dress,White,S,Polyester,1264.88,537.42,2.61,ThredUP,$18.84 ,,https://www.thredup.com/product/women-polyester-lulus-white-cocktail-dress/145465094?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
Jacket,Green,XS,Nylon,387.64,311.75,2.14,ThredUP,$24.69 ,,The North Face 100% Nylon Solid Green Jacket Size XS - 73% off | thredUP
Dress,Blue,XL,Cotton,1264.88,537.42,2.61,ThredUP,$30.54 ,,https://www.thredup.com/product/women-cotton-torrid-multi-color-casual-dress/144103128?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
Jacket,Blue,L,Denim,387.64,311.75,2.14,ThredUP,$16.89 ,,Isda & Co 100% Cotton Solid Blue Denim Jacket Size L - 84% off | thredUP
Shirt,White,M,Rayon,471.24,184.57,0.87,ThredUP,$19.99 ,,https://www.thredup.com/product/women-cotton-urban-outfitters-white-short-sleeve-t-Shirt/144928480?query_id=778046250536452096&result_id=778046257679335424&suggestion_id=778046250590978070 
Dress,Pink,M,Polyester,1264.88,537.42,2.61,ThredUP,$49.39 ,,https://www.thredup.com/product/women-polyester-vera-wang-colored-cocktail-dress/141891317?query_id=778037674287931392&result_id=778037675370061824&suggestion_id=-2
Jacket,Tan,XS,Cotton,387.64,311.75,2.14,ThredUP,,,Banana Republic 100% Cotton Solid Colored Tan Trenchcoat Size XS - 71% off | thredUP
Jeans,Blue,L,Cotton,676.87,637.48,0.98,ThredUP,$7.14 ,,https://www.thredup.com/product/women-cotton-hollister-blue-khakis/143227024 
Shirt,White,XS,,471.24,184.57,0.87,ThredUP,$18.99 ,,https://www.thredup.com/product/women-cotton-urban-outfitters-white-short-sleeve-t-Shirt/144928480?query_id=778046250536452096&result_id=778046257679335424&suggestion_id=778046250590978070 
Dress,Black,S,Polyester,1264.88,537.42,2.61,ThredUP,$12.34 ,,https://www.thredup.com/product/women-polyester-express-outlet-black-casual-dress/144337833?query_id=778041361475338240&result_id=778041365363548160&suggestion_id=778041361534058518
Dress,Red,S,Polyester,1264.88,537.42,2.61,ThredUP,,,
